AMP_CODE,PRV_CODE,region_th,PRVNAME_T,PRVNAME_E,AMP_NAME_T,AMP_NAME_E
1001,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,พระนคร,Phra Nakhon
1002,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai
1003,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,สัมพันธวงศ์,Samphanthawong
1004,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,Pathum Wan
1005,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางรัก,Bang Rak
1006,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ยานนาวา,Yannawa
1007,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,สาทร,Sa Thon
1008,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางคอแหลม,Bang Kho Laem
1009,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ดุสิต,Dusit
1010,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางซื่อ,Bang Su
1011,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,พญาไท,Phaya Thai
1012,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ราชเทวี,Rat Thewi
1013,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ห้วยขวาง,Huai Khwang
1014,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ดินแดง,Din Daeng
1015,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,พระโขนง,Phra Khanong
1016,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,คลองเตย,Khlong Toei
1017,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ประเวศ,Prawet
1018,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,สวนหลวง,Suan Luang
1019,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางเขน,Bang Khen
1020,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ดอนเมือง,Don Maung
1021,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,จตุจักร,Chatuchak
1022,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางกะปิ,Bang Kapi
1023,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ลาดพร้าว,Lat Phrao
1024,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บึงกุ่ม,Bung Kum
1025,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,หนองจอก,Nong Chok
1026,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,มีนบุรี,Min Buri
1027,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ลาดกระบัง,Lat Krabang
1028,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ธนบุรี,Thon Buri
1029,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,คลองสาน,Khlong San
1030,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางกอกน้อย,Bangkok Noi
1031,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางพลัด,Bang Phlat
1032,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางกอกใหญ่,Bangkok Yai
1033,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ภาษีเจริญ,Phasi Charoen
1034,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางขุนเทียน,Bang Khun Thian
1035,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,จอมทอง,Chom Thong
1036,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ตลิ่งชัน,Taling Chan
1037,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ราษฎร์บูรณะ,Rat Burana
1038,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,หนองแขม,Nong Khaem
1039,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,วัฒนา,Watthana
1040,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางแค,Bang Khae
1041,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,หลักสี่,Lak Si
1042,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,สายไหม,Sai Mai
1043,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,คันนายาว,Khanna Yao
1044,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,สะพานสูง,Saphan Sung
1045,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,Wang Thong Lang
1046,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,คลองสามวา,Khlong Sam Wa
1047,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางนา,Bang Na
1048,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ทวีวัฒนา,Thawi Watthana
1049,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,ทุ่งครุ,Thung Khu
1050,10,ภาคกลาง,กรุงเทพมหานคร,BANGKOK,บางบอน,Bang Bon
1101,11,ภาคกลาง,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,Mueang Samut Prakan
1102,11,ภาคกลาง,สมุทรปราการ,SAMUT PRAKAN,บางบ่อ,Bang Bo
1103,11,ภาคกลาง,สมุทรปราการ,SAMUT PRAKAN,บางพลี,Bang Phli
1104,11,ภาคกลาง,สมุทรปราการ,SAMUT PRAKAN,พระประแดง,Phra Pradaeng
1105,11,ภาคกลาง,สมุทรปราการ,SAMUT PRAKAN,พระสมุทรเจดีย์,Phra Samut Chedi
1106,11,ภาคกลาง,สมุทรปราการ,SAMUT PRAKAN,บางเสาธง,Bang Sao Thong
1201,12,ภาคกลาง,นนทบุรี,NONTHABURI,เมืองนนทบุรี,Mueang Nonthaburi
1202,12,ภาคกลาง,นนทบุรี,NONTHABURI,บางกรวย,Bang Kruai
1203,12,ภาคกลาง,นนทบุรี,NONTHABURI,บางใหญ่,Bang Yai
1204,12,ภาคกลาง,นนทบุรี,NONTHABURI,บางบัวทอง,Bang Bua Thong
1205,12,ภาคกลาง,นนทบุรี,NONTHABURI,ไทรน้อย,Sai Noi
1206,12,ภาคกลาง,นนทบุรี,NONTHABURI,ปากเกร็ด,Pak Kret
1301,13,ภาคกลาง,ปทุมธานี,PATHUM THANI,เมืองปทุมธานี,Mueang Pathum Thani
1302,13,ภาคกลาง,ปทุมธานี,PATHUM THANI,คลองหลวง,Khlong Luang
1303,13,ภาคกลาง,ปทุมธานี,PATHUM THANI,ธัญบุรี,Thanyaburi
1304,13,ภาคกลาง,ปทุมธานี,PATHUM THANI,หนองเสือ,Nong Suea
1305,13,ภาคกลาง,ปทุมธานี,PATHUM THANI,ลาดหลุมแก้ว,Lat Lum Kaeo
1306,13,ภาคกลาง,ปทุมธานี,PATHUM THANI,ลำลูกกา,Lam Luk Ka
1307,13,ภาคกลาง,ปทุมธานี,PATHUM THANI,สามโคก,Sam Khok
1401,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
1402,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,ท่าเรือ,Tha Ruea
1403,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,นครหลวง,Nakhon Luang
1404,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,บางไทร,Bang Sai
1405,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,บางบาล,Bang Ban
1406,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,บางปะอิน,Bang Pa-In
1407,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,บางปะหัน,Bang Pahan
1408,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,ผักไห่,Phak Hai
1409,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,ภาชี,Phachi
1410,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,ลาดบัวหลวง,Lat Bua Luang
1411,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,วังน้อย,Wang Noi
1412,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,เสนา,Sena
1413,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,บางซ้าย,Bang Sai
1414,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,อุทัย,Uthai
1415,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,มหาราช,Maharat
1416,14,ภาคกลาง,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,บ้านแพรก,Ban Phraek
1501,15,ภาคกลาง,อ่างทอง,ANG THONG,เมืองอ่างทอง,Mueang Ang Thong
1502,15,ภาคกลาง,อ่างทอง,ANG THONG,ไชโย,Chaiyo
1503,15,ภาคกลาง,อ่างทอง,ANG THONG,ป่าโมก,Pa Mok
1504,15,ภาคกลาง,อ่างทอง,ANG THONG,โพธิ์ทอง,Pho Thong
1505,15,ภาคกลาง,อ่างทอง,ANG THONG,แสวงหา,Sawaeng Ha
1506,15,ภาคกลาง,อ่างทอง,ANG THONG,วิเศษชัยชาญ,Wiset Chai Chan
1507,15,ภาคกลาง,อ่างทอง,ANG THONG,สามโก้ก,Sam Ko
1601,16,ภาคกลาง,ลพบุรี,LOP BURI,เมืองลพบุรี,Mueang Lop Buri
1602,16,ภาคกลาง,ลพบุรี,LOP BURI,พัฒนานิคม,Phatthana Nikhom
1603,16,ภาคกลาง,ลพบุรี,LOP BURI,โคกสำโรง,Khok Samrong
1604,16,ภาคกลาง,ลพบุรี,LOP BURI,ชัยบาดาล,Chai Badan
1605,16,ภาคกลาง,ลพบุรี,LOP BURI,ท่าวุ้ง,Tha Wung
1606,16,ภาคกลาง,ลพบุรี,LOP BURI,บ้านหมี่,Ban Mi
1607,16,ภาคกลาง,ลพบุรี,LOP BURI,ท่าหลวง,Tha Luang
1608,16,ภาคกลาง,ลพบุรี,LOP BURI,สระโบสถ์,Sa Bot
1609,16,ภาคกลาง,ลพบุรี,LOP BURI,โคกเจริญ,Khok Charoen
1610,16,ภาคกลาง,ลพบุรี,LOP BURI,ลำสนธิ,Lam Sonthi
1611,16,ภาคกลาง,ลพบุรี,LOP BURI,หนองม่วง,Nong Muang
1701,17,ภาคกลาง,สิงห์บุรี,SING BURI,เมืองสิงห์บุรี,Mueang Sing Buri
1702,17,ภาคกลาง,สิงห์บุรี,SING BURI,บางระจัน,Bang Rachan
1703,17,ภาคกลาง,สิงห์บุรี,SING BURI,ค่ายบางระจัน,Khai Bang Rachan
1704,17,ภาคกลาง,สิงห์บุรี,SING BURI,พรหมบุรี,Phrom Buri
1705,17,ภาคกลาง,สิงห์บุรี,SING BURI,ท่าช้าง,Tha Chang
1706,17,ภาคกลาง,สิงห์บุรี,SING BURI,อินทร์บุรี,In Buri
1801,18,ภาคกลาง,ชัยนาท,CHAI NAT,เมืองชัยนาท,Mueang Chai Nat
1802,18,ภาคกลาง,ชัยนาท,CHAI NAT,มโนรมย์,Manorom
1803,18,ภาคกลาง,ชัยนาท,CHAI NAT,วัดสิงห์,Wat Sing
1804,18,ภาคกลาง,ชัยนาท,CHAI NAT,สรรพยา,Sapphaya
1805,18,ภาคกลาง,ชัยนาท,CHAI NAT,สรรคบุรี,Sankha Buri
1806,18,ภาคกลาง,ชัยนาท,CHAI NAT,หันคา,Han Kha
1807,18,ภาคกลาง,ชัยนาท,CHAI NAT,หนองมะโมง,Nong Mamong
1808,18,ภาคกลาง,ชัยนาท,CHAI NAT,เนินขาม,Noen Kham
1901,19,ภาคกลาง,สระบุรี,SARABURI,เมืองสระบุรี,Mueang Saraburi
1902,19,ภาคกลาง,สระบุรี,SARABURI,แก่งคอย,Kaeng Khoi
1903,19,ภาคกลาง,สระบุรี,SARABURI,หนองแค,Nong Khae
1904,19,ภาคกลาง,สระบุรี,SARABURI,วิหารแดง,Wihan Daeng
1905,19,ภาคกลาง,สระบุรี,SARABURI,หนองแซง,Nong Saeng
1906,19,ภาคกลาง,สระบุรี,SARABURI,บ้านหมอ,Ban Mo
1907,19,ภาคกลาง,สระบุรี,SARABURI,ดอนพุด,Don Phut
1908,19,ภาคกลาง,สระบุรี,SARABURI,หนองโดน,Nong Don
1909,19,ภาคกลาง,สระบุรี,SARABURI,พระพุทธบาท,Phraphutthabat
1910,19,ภาคกลาง,สระบุรี,SARABURI,เสาไห้,Sao Hai
1911,19,ภาคกลาง,สระบุรี,SARABURI,มวกเหล็ก,Muak Lek
1912,19,ภาคกลาง,สระบุรี,SARABURI,วังม่วง,Wang Muang
1913,19,ภาคกลาง,สระบุรี,SARABURI,เฉลิมพระเกียรติ,Chaloem Phrakiat
2001,20,ภาคตะวันออก,ชลบุรี,CHON BURI,เมืองชลบุรี,Mueang Chon Buri
2002,20,ภาคตะวันออก,ชลบุรี,CHON BURI,บ้านบึง,Ban Bueng
2003,20,ภาคตะวันออก,ชลบุรี,CHON BURI,หนองใหญ่,Nong Yai
2004,20,ภาคตะวันออก,ชลบุรี,CHON BURI,บางละมุง,Bang Lamung
2005,20,ภาคตะวันออก,ชลบุรี,CHON BURI,พานทอง,Phan Thong
2006,20,ภาคตะวันออก,ชลบุรี,CHON BURI,พนัสนิคม,Phanat Nikhom
2007,20,ภาคตะวันออก,ชลบุรี,CHON BURI,ศรีราชา,Si Racha
2008,20,ภาคตะวันออก,ชลบุรี,CHON BURI,เกาะสีชัง,Ko Si Chang
2009,20,ภาคตะวันออก,ชลบุรี,CHON BURI,สัตหีบ,Sattahip
2010,20,ภาคตะวันออก,ชลบุรี,CHON BURI,บ่อทอง,Bo Thong
2011,20,ภาคตะวันออก,ชลบุรี,CHON BURI,เกาะจันทร์,Ko Chan
2101,20,ภาคตะวันออก,ระยอง,RAYONG,เมืองระยอง,Mueang Rayong
2102,21,ภาคตะวันออก,ระยอง,RAYONG,บ้านฉาง,Ban Chang
2103,21,ภาคตะวันออก,ระยอง,RAYONG,แกลง,Klaeng
2104,21,ภาคตะวันออก,ระยอง,RAYONG,วังจันทร์,Wang Chan
2105,21,ภาคตะวันออก,ระยอง,RAYONG,บ้านค่าย,Ban Khai
2106,21,ภาคตะวันออก,ระยอง,RAYONG,ปลวกแดง,Pluak Daeng
2107,21,ภาคตะวันออก,ระยอง,RAYONG,เขาชะเมา,Khao Chamao
2108,21,ภาคตะวันออก,ระยอง,RAYONG,นิคมพัฒนา,Nikhom Phatthana
2201,22,ภาคตะวันออก,จันทบุรี,CHANTHABURI,เมืองจันทบุรี,Mueang Chanthaburi
2202,22,ภาคตะวันออก,จันทบุรี,CHANTHABURI,ขลุง,Khlung
2203,22,ภาคตะวันออก,จันทบุรี,CHANTHABURI,ท่าใหม่,Tha Mai
2204,22,ภาคตะวันออก,จันทบุรี,CHANTHABURI,โป่งน้ำร้อน,Pong Nam Ron
2205,22,ภาคตะวันออก,จันทบุรี,CHANTHABURI,มะขาม,Makham
2206,22,ภาคตะวันออก,จันทบุรี,CHANTHABURI,แหลมสิงห์,Laem Sing
2207,22,ภาคตะวันออก,จันทบุรี,CHANTHABURI,สอยดาว,Soi Dao
2208,22,ภาคตะวันออก,จันทบุรี,CHANTHABURI,แก่งหางแมว,Kaeng Hang Maeo
2209,22,ภาคตะวันออก,จันทบุรี,CHANTHABURI,นายายอาม,Na Yai Am
