FID,PROV_NAME,ISO_province,PROV_NAMT,abbr_th,abbr_e,region,FIPS,lat,lon,area,pop_thai_male,pop_thai_female,pop_thai_all,pop_nothai_male,pop_nothai_female,pop_nothai_all,pop_all,hdi,gpp_1995,gpp_1996,gpp_1997,gpp_1998,gpp_1999,gpp_2000,gpp_2001,gpp_2002,gpp_2003,gpp_2004,gpp_2005,gpp_2006,gpp_2007,gpp_2008,gpp_2009,gpp_2010,gpp_2011,gpp_2012,gpp_2013,gpp_2014,gpp_2015,gpp_2016,gpp_2017
0,BANGKOK,10,กรุงเทพมหานคร,กท,BKK,central,TH40,13.7524938,100.4935089,1568.95,2620964,2948680,5569644,58489,48515,107004,5676648,0.933,1583684.259,1712506.993,1647548.373,1595452.986,1653024.902,1788030.805,1924024.25,2004881.081,2137260.849,2339091.648,2539688.913,2697241.764,2814355.847,2928923.425,2921083.618,3103733.94,3339393.006,3630913.419,3926347.095,4176339.964,4440948.844,4740090.008,5022016.313
1,SAMUT PRAKAN,11,สมุทรปราการ,สป,SPK,central,TH42,13.6531651,100.8182578,960.09,624823,683152,1307975,9856,8777,18633,1326608,0.825,199560.1377,212828.6772,216603.4988,257295.4089,277892.2646,301058.5881,324356.8648,355400.681,360714.3191,388814.9858,413320.9683,452179.1406,572922.7613,591130.2526,536746.1852,662249.3884,602198.2263,701200.8215,655752.8746,665302.7708,686742.7184,694034.5782,717052.5478
2,NONTHABURI,12,นนทบุรี,นบ,NBI,central,TH38,13.8610918,100.3456772,633.25,576374,660174,1236548,5246,4501,9747,1246295,0.743,60242.13185,63902.44739,65688.84238,71977.96094,70595.37551,74093.89164,78705.40996,84585.88378,91504.80359,102551.801,118303.5135,132391.7852,142615.4659,152788.8674,163886.8682,177414.1653,176593.1552,198913.5127,221710.551,253225.0212,272211.2528,291388.1664,316625.0141
3,PATHUM THANI,13,ปทุมธานี,ปท,PTE,central,TH39,14.048667,100.5640405,1520.06,538749,598342,1137091,4903,4098,9001,1146092,0.805,168797.0458,178023.837,181806.4252,143333.2123,168191.2489,167169.274,173284.3262,160244.306,176535.5404,201879.0916,215305.0523,239886.8241,245228.6669,280817.8701,308575.8062,351023.8713,301532.2008,298687.1871,311695.615,327641.4257,343242.0113,345180.8518,380688.439
4,PHRA NAKHON SI AYUTTHAYA,14,พระนครศรีอยุธยา,อย,AYA,central,TH36,14.3189468,100.5111681,2534.07,392447,422897,815344,1123,974,2097,817441,0.729,104153.4413,124840.3395,131161.4628,132880.7621,140417.1846,162918.9806,165763.8097,177937.7591,201021.5337,216306.3835,221389.106,245567.686,283522.8956,371100.5665,325839.7963,373058.4075,323280.3102,332904.9336,408121.2241,371011.8623,418235.6976,397803.988,403603.0162
5,ANG THONG,15,อ่างทอง,อท,ATG,central,TH35,14.6495224,100.3170382,948.68,134391,146044,280435,201,204,405,280840,0.72,10250.12466,11859.70426,12318.15927,13228.83055,12078.23013,11724.97987,11821.61864,12799.90205,13947.76638,15353.38797,16006.74534,17306.15961,18107.40667,20691.73278,19925.72648,18307.85454,20630.08354,27350.54829,25962.50395,24350.9014,24790.95316,25532.16151,27790.90362
6,LOP BURI,16,ลพบุรี,ลบ,LRI,central,TH34,15.026458,100.8089178,6290.8,380317,377046,757363,763,607,1370,758733,0.742,31670.68996,37846.75484,37509.14389,36383.20871,34062.08147,36478.52934,40436.76362,46760.83705,49130.86456,50635.47633,56284.72289,56340.58778,56403.39125,61254.3922,66042.29964,67670.50938,74175.07212,90407.12514,94797.58909,97247.23675,96516.95766,99436.79337,111921.4712
7,SING BURI,17,สิงห์บุรี,สห,SBR,central,TH33,14.9936716,100.3602963,831.57,99512,109571,209083,161,133,294,209377,0.739,9815.184411,11004.59956,11538.53231,12166.38725,11054.29245,12147.243,12125.97729,12759.60854,14468.06985,15892.44553,17109.03194,18637.66723,20076.65777,22456.41221,23410.5943,23345.89252,25180.7667,28710.42003,27749.37382,25643.84646,24361.21917,25233.02105,26504.88984
8,CHAI NAT,18,ชัยนาท,ชน,CNT,central,TH32,15.1453182,99.9010244,2463.64,157761,170151,327912,183,168,351,328263,0.756,13780.04161,15142.42865,15992.21381,16454.857,14957.36056,15311.33026,16118.57724,16668.8058,16963.11694,17972.69473,18848.79568,19057.42737,21451.42855,27003.91723,25631.405,25545.45043,27470.9778,35203.76917,35239.25488,29456.4057,27791.58981,28503.88722,31850.33016
9,SARABURI,19,สระบุรี,สบ,SRI,central,TH37,14.5249471,100.9160757,3504.53,314774,323879,638653,3354,3017,6371,645024,0.798,65692.92305,72510.18482,72480.54484,71553.89082,69900.44932,70926.73697,76323.48567,88338.44529,98910.34128,112726.3107,124381.4742,133772.7477,137722.4588,154755.0886,172801.6729,182617.3814,186260.3097,205215.1244,205623.6434,213013.912,218661.4635,237510.6117,236636.103
10,CHON BURI,20,ชลบุรี,ชบ,CBI,eastern,TH46,13.1857117,101.1210777,4469.4,740130,775529,1515659,11649,8137,19786,1535445,0.889,206475.3531,235039.9505,239909.3661,235506.287,231286.4293,243644.191,258212.589,281974.1563,312347.933,342754.767,426605.4392,510263.2579,585555.8915,615054.5834,576625.3528,620480.1652,639813.9177,628554.1911,687572.5247,737339.0278,798944.7333,908187.4106,976460.3355
11,RAYONG,21,ระยอง,รย,RYG,eastern,TH47,12.7943716,101.3705344,3711.09,351586,364842,716428,3953,2935,6888,723316,0.802,136121.6423,158298.9088,191863.4383,205066.2013,187289.7109,236855.9953,249870.9438,289780.9755,321279.8085,368349.3567,454202.7142,539225.3491,613673.6929,639114.9155,592698.5101,716062.9154,764480.4468,841659.307,882454.8596,894162.2285,865934.3417,894757.7484,984980.3248
12,CHANTHABURI,22,จันทบุรี,จบ,CTI,eastern,TH48,12.9081033,102.0159145,6367.85,261030,272338,533368,1615,1513,3128,536496,0.754,29426.8145,31636.98454,34578.2692,31494.72284,31381.29582,36117.74224,34831.34436,41501.34462,44288.86525,47290.98241,50724.07995,58150.9065,67488.13206,69865.65808,81394.14719,88039.31674,104963.8757,102240.682,99166.28671,101077.8511,104115.2435,110636.243,138442.7109
13,TRAT,23,ตราด,ตร,TRT,eastern,TH49,12.2593544,102.4268871,2889.18,109205,110854,220059,4892,4963,9855,229914,0.675,14047.47181,14680.68207,16715.3871,15582.6545,15161.32077,17059.38287,16152.95875,18732.96883,18480.74991,22060.74002,21692.43638,26365.8947,28702.96129,30156.04358,30665.55158,35503.92895,39764.90106,37524.48979,34982.1549,36714.56394,36872.36404,39161.6751,46964.70337
