FID,prov,prov_eng,prov_code,amphoe,name,area_km,pop,density,lat,lon
T1,กระบี่,Krabi,81,เกาะลันตา,เทศบาลตำบลโคกตะเคียน,0.81,1112,636,7.5301839,99.094742
T2,กระบี่,Krabi,81,เขาพนม,เทศบาลตำบล กม.5,12.92,4620,357.5851393,8.1734871,98.8907881
T3,กระบี่,Krabi,81,เมืองกระบี่,เทศบาลตำบล จ.ป.ร.,84,15915,189.4642857,8.1567783,98.9623547
T4,กระบี่,Krabi,81,เหนือคลอง,เทศบาลตำบลเกล็ดแก้ว,3.53,4315,1222.379603,8.097004,98.978312
T5,กระบี่,Krabi,81,คลองท่อม,เทศบาลตำบลเกวียนหัก,2.7,3837,1421.111111,7.9354523,99.1456523
T6,กระบี่,Krabi,81,คลองท่อม,เทศบาลตำบลเกษไชโย,7.65,2928,382.745098,7.8072601,99.2027637
T7,กระบี่,Krabi,81,คลองท่อม,เทศบาลตำบลเกษตรพัฒนา,166.29,10339,62.1745144,7.7516422,99.2619023
T8,กระบี่,Krabi,81,คลองท่อม,เทศบาลตำบลเกษตรวิสัย,183.36,16085,87.72360384,7.8337615,99.1719372
T9,กระบี่,Krabi,81,ปลายพระยา,เทศบาลตำบลเกษตรสมบูรณ์,12.5,5765,461.2,8.5327202,98.8637966
T10,กระบี่,Krabi,81,ลำทับ,เทศบาลตำบลเก้าเลี้ยว,8.11,3947,486.6831073,8.0805551,99.3230196
T11,กระบี่,Krabi,81,อ่าวลึก,เทศบาลตำบลเก่ากลอย,7,3939,562.7142857,8.2765229,98.6484177
T12,กระบี่,Krabi,81,อ่าวลึก,เทศบาลตำบลเกาะเต่า,8,5867,733.375,8.3779715,98.721102
T13,กาญจนบุรี,Kanchanaburi,71,เมืองกาญจนบุรี,เทศบาลตำบลเกาะเพชร,47.8,23124,483.7656904,14.0383041,99.5464227
T14,กาญจนบุรี,Kanchanaburi,71,เมืองกาญจนบุรี,เทศบาลตำบลเกาะแก้ว,11.65,5356,459.7424893,14.0622649,99.4854422
T15,กาญจนบุรี,Kanchanaburi,71,เมืองกาญจนบุรี,เทศบาลตำบลเกาะแต้ว,4.05,5678,1401.975309,14.102096,99.4221136
T16,กาญจนบุรี,Kanchanaburi,71,เมืองกาญจนบุรี,เทศบาลตำบลเกาะขนุน,8.5,5654,665.1764706,14.0601819,99.4566099
T17,กาญจนบุรี,Kanchanaburi,71,เมืองกาญจนบุรี,เทศบาลตำบลเกาะขวาง,26.25,10135,386.0952381,14.0373956,99.4821829
T18,กาญจนบุรี,Kanchanaburi,71,เลาขวัญ,เทศบาลตำบลเกาะคา,10.4,2634,253.2692308,14.5593582,99.7567161
T19,กาญจนบุรี,Kanchanaburi,71,เลาขวัญ,เทศบาลตำบลเกาะคาแม่ยาว,14.86,2151,144.7510094,14.6734675,99.6970557
T20,กาญจนบุรี,Kanchanaburi,71,ไทรโยค,เทศบาลตำบลเกาะจันทร์,4.4,3653,830.2272727,14.2196872,99.0757632
T21,กาญจนบุรี,Kanchanaburi,71,ไทรโยค,เทศบาลตำบลเกาะช้าง,5.2,1982,381.1538462,14.1159075,99.1479337
T22,กาญจนบุรี,Kanchanaburi,71,ไทรโยค,เทศบาลตำบลเกาะทวด,1201,7990,6.652789342,14.323436,99.033937
T23,กาญจนบุรี,Kanchanaburi,71,ด่านมะขาม,เทศบาลตำบลเกาะนางคำ,9.71,2557,263.3367662,13.851361,99.410204
T24,กาญจนบุรี,Kanchanaburi,71,ทองผาภูมิ,เทศบาลตำบลเกาะพะงัน,3.28,2675,815.5487805,14.7502869,98.6275134
T25,กาญจนบุรี,Kanchanaburi,71,ทองผาภูมิ,เทศบาลตำบลเกาะยาว,162,4857,29.98148148,14.6722002,98.7182391
T26,กาญจนบุรี,Kanchanaburi,71,ทองผาภูมิ,เทศบาลตำบลเกาะยาวใหญ่,416,13835,33.25721154,14.7485213,98.6293581
T27,กาญจนบุรี,Kanchanaburi,71,ทองผาภูมิ,เทศบาลตำบลเกาะลันตาใหญ่,253,6721,26.56521739,14.5624507,98.7603977
T28,กาญจนบุรี,Kanchanaburi,71,ท่าม่วง,เทศบาลตำบลเกาะสีชัง,1.53,10856,7095.424837,13.9769848,99.627976
T29,กาญจนบุรี,Kanchanaburi,71,ท่าม่วง,เทศบาลตำบลเกาะหวาย,5.904,1929,326.7276423,13.9161589,99.676006
T30,กาญจนบุรี,Kanchanaburi,71,ท่าม่วง,เทศบาลตำบลเขตรอุดมศักดิ์,0.84,5390,6416.666667,14.0485528,99.6289114
T31,กาญจนบุรี,Kanchanaburi,71,ท่าม่วง,เทศบาลตำบลเขมราฐ,12.7,2894,227.8740157,13.7866867,99.5662705
T32,กาญจนบุรี,Kanchanaburi,71,ท่าม่วง,เทศบาลตำบลเขวาสินรินทร์,27.95,8869,317.3166369,14.0033005,99.5700215
T33,กาญจนบุรี,Kanchanaburi,71,ท่าม่วง,เทศบาลตำบลเขาเจียก,42,11764,280.0952381,13.9902704,99.6938007
T34,กาญจนบุรี,Kanchanaburi,71,ท่าม่วง,เทศบาลตำบลเขาแก้ว,49,7956,162.3673469,13.9518171,99.6632341
T35,กาญจนบุรี,Kanchanaburi,71,ท่าม่วง,เทศบาลตำบลเขาแก้วศรีสมบูรณ์,28,5840,208.5714286,13.949251,99.6263885
T36,กาญจนบุรี,Kanchanaburi,71,ท่าม่วง,เทศบาลตำบลเขาโจด,63.16,3476,55.03483217,14.039065,99.5915403
T37,กาญจนบุรี,Kanchanaburi,71,ท่ามะกา,เทศบาลตำบลเขาขวาง,6.58,8154,1239.209726,13.9136149,99.7656226
T38,กาญจนบุรี,Kanchanaburi,71,ท่ามะกา,เทศบาลตำบลเขาคอก,17.71,9580,540.9373235,13.8976936,99.7972573
T39,กาญจนบุรี,Kanchanaburi,71,ท่ามะกา,เทศบาลตำบลเขาคีรีส,10.6,5961,562.3584906,13.9658984,99.7530977
T40,กาญจนบุรี,Kanchanaburi,71,ท่ามะกา,เทศบาลตำบลเขางู,3,4255,1418.333333,13.8709668,99.8180672
T41,กาญจนบุรี,Kanchanaburi,71,ท่ามะกา,เทศบาลตำบลเขาฉกรรจ์,3.63,4300,1184.573003,13.9130678,99.7558161
T42,กาญจนบุรี,Kanchanaburi,71,ท่ามะกา,เทศบาลตำบลเขาชัยสน,7,4244,606.2857143,13.8896083,99.8335677
T43,กาญจนบุรี,Kanchanaburi,71,ท่ามะกา,เทศบาลตำบลเขาชีจรรย์,19.8,4325,218.4343434,14.0444117,99.8148851
T44,กาญจนบุรี,Kanchanaburi,71,ท่ามะกา,เทศบาลตำบลเขาชุมทอง,20.6,3425,166.2621359,14.004867,99.7992075
T45,กาญจนบุรี,Kanchanaburi,71,บ่อพลอย,เทศบาลตำบลเขาดิน,4,7319,1829.75,14.3282477,99.5153383
T46,กาญจนบุรี,Kanchanaburi,71,บ่อพลอย,เทศบาลตำบลเขาทราย,5.008,2196,438.4984026,14.5247591,99.4649365
T47,กาญจนบุรี,Kanchanaburi,71,พนมทวน,เทศบาลตำบลเขาน้อย,5.8,5400,931.0344828,14.1314222,99.7028017
T48,กาญจนบุรี,Kanchanaburi,71,พนมทวน,เทศบาลตำบลเขานิพันธ์,14.42,4236,293.7586685,14.2218662,99.787844
T49,กาญจนบุรี,Kanchanaburi,71,พนมทวน,เทศบาลตำบลเขาบางแกรก,30,3501,116.7,14.0716698,99.7288412
T50,กาญจนบุรี,Kanchanaburi,71,พนมทวน,เทศบาลตำบลเขาบายศรี,54.21,7720,142.4091496,14.2218662,99.787844
T51,กาญจนบุรี,Kanchanaburi,71,พนมทวน,เทศบาลตำบลเขาพนม,23.81,4898,205.7118858,14.0611131,99.688452
T52,กาญจนบุรี,Kanchanaburi,71,ศรีสวัสดิ์,เทศบาลตำบลเขาพระ,16.45,1070,65.04559271,14.3852336,99.1350808
T53,กาญจนบุรี,Kanchanaburi,71,ศรีสวัสดิ์,เทศบาลตำบลเขาพระ,922,3928,4.260303688,14.662438,99.3425444
T54,กาญจนบุรี,Kanchanaburi,71,สังขละบุรี,เทศบาลตำบลเขาพระงาม,11.11,6249,562.4662466,15.1574365,98.4502794
T55,กาญจนบุรี,Kanchanaburi,71,หนองปรือ,เทศบาลตำบลเขาพระนอน,12.57,4554,362.2911695,14.6621135,99.4476568
T56,กาญจนบุรี,Kanchanaburi,71,หนองปรือ,เทศบาลตำบลเขาพระยาเดินธง,114,6214,54.50877193,14.6112206,99.5352385
T57,กาญจนบุรี,Kanchanaburi,71,หนองปรือ,เทศบาลตำบลเขาย้อย,104.74,6254,59.70975749,14.7835988,99.3288742
T58,กาญจนบุรี,Kanchanaburi,71,ห้วยกระเจา,เทศบาลตำบลเขาวัว-พลอยแหวน,230,9614,41.8,14.346606,99.611911
T59,กาญจนบุรี,Kanchanaburi,71,ห้วยกระเจา,เทศบาลตำบลเขาสมิง,125,7483,59.864,14.3440637,99.7513372
T60,กาฬสินธุ์,Kalasin,46,เขาวง,เทศบาลตำบลเขาสวนกวาง,16,2935,183.4375,16.7122965,104.0665572
T61,กาฬสินธุ์,Kalasin,46,เขาวง,เทศบาลตำบลเขาหัวช้าง,7.5,11347,1512.933333,16.6782595,104.073809
T62,กาฬสินธุ์,Kalasin,46,เขาวง,เทศบาลตำบลเขาหินซ้อน,52,7124,137,16.6439908,104.1168872
T63,กาฬสินธุ์,Kalasin,46,เขาวง,เทศบาลตำบลเขื่องใน,46.02,3577,77.72707518,16.6782595,104.073809
T64,กาฬสินธุ์,Kalasin,46,เมือง,เทศบาลตำบลเขื่อนบางลาง,31.31,4305,137.4960077,16.5803522,103.4702394
T65,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเขื่อนอุบลรัตน์,51.98,8380,161.2158523,16.5333997,103.6142056
T66,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเค็งใหญ่,45.85,7155,156.0523446,16.5582782,103.5108231
T67,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเคียนซา,63.83,11687,183.095723,16.381209,103.5466146
T68,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเจ็ดเสมียน,49.78,5756,115.6287666,16.640851,103.509213
T69,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเจดีย์,36.65,6178,168.5675307,16.5129585,103.4799431
T70,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเจดีย์แม่ครัว,46.16,4720,102.2530329,16.5880763,103.6170389
T71,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเจดีย์หลวง,56.76,6474,114.0591966,16.6153865,103.5793971
T72,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเจริญราษฎร์,31.4,6387,203.4076433,16.4777372,103.5532987
T73,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเจริญศิลป์,52.2,9208,176.3984674,16.5001337,103.4649115
T74,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเจ๊ะปิลัง,46.14,11290,244.6900737,16.3943261,103.5209382
T75,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเจ้าเจ็ด,87.17,7158,82.11540668,16.4257638,103.6785686
T76,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเจ้าพระยา,40.89,4734,115.7740279,16.5442166,103.6403143
T77,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเฉลียงทอง,33.03,7990,241.9013018,16.4256276,103.5590839
T78,กาฬสินธุ์,Kalasin,46,เมืองกาฬสินธุ์,เทศบาลตำบลเชิงเนิน,42.6,4979,116.8779343,16.507176,103.575845
T79,กาฬสินธุ์,Kalasin,46,ดอนจาน,เทศบาลตำบลเชิงแส,48.31,7284,150.7762368,16.4258254,103.6785557
T80,กาฬสินธุ์,Kalasin,46,ดอนจาน,เทศบาลตำบลเชิงดอย,29.18,4430,151.8163125,16.477147,103.655099
T81,กาฬสินธุ์,Kalasin,46,กมลาไสย,เทศบาลตำบลเชิงทะเล,15.25,10092,661.7704918,16.3386481,103.5752341
T82,กาฬสินธุ์,Kalasin,46,กมลาไสย,เทศบาลตำบลเชียงเครือ,9,6330,703.3333333,16.2696034,103.5784012
T83,กาฬสินธุ์,Kalasin,46,กมลาไสย,เทศบาลตำบลเชียงเครือ,39.5,10523,266.4050633,16.260676,103.6466862
T84,กาฬสินธุ์,Kalasin,46,กมลาไสย,เทศบาลตำบลเชียงเคี่ยน,31.5,6905,219.2063492,16.2983894,103.4929182
T85,กาฬสินธุ์,Kalasin,46,กมลาไสย,เทศบาลตำบลเชียงเพ็ง,38.22,6033,157.8492936,16.3162341,103.5986555
T86,กาฬสินธุ์,Kalasin,46,นาคู,เทศบาลตำบลเชียงแหว,7.54,5511,730.9018568,16.7745557,104.0294361
T87,กาฬสินธุ์,Kalasin,46,นาคู,เทศบาลตำบลเชียงใหม่,42,4070,96.9047619,16.6741083,103.9640993
