FID,prov,amphoe,name,area_km,pop,density
1,กระบี่,เมืองกระบี่,เทศบาลเมืองกระบี่,19,28745,1512.894737
2,กาญจนบุรี,เมืองกาญจนบุรี,เทศบาลเมืองกาญจนบุรี,9.16,29364,3205.676856
3,กาญจนบุรี,ท่ามะกา,เทศบาลเมืองท่าเรือพระแท่น,7.26,12097,1666.253444
4,กาฬสินธุ์,เมืองกาฬสินธุ์,เทศบาลเมืองกาฬสินธุ์,16.96,35150,2072.523585
5,กาฬสินธุ์,กุฉินารายณ์,เทศบาลเมืองกุฉินารายณ์,9.95,11801,1186.030151
6,กำแพงเพชร,เมืองกำแพงเพชร,เทศบาลเมืองกำแพงเพชร,14.9,28930,1941.610738
7,กำแพงเพชร,เมืองกำแพงเพชร,เทศบาลเมืองหนองปลิง,84.58,11940,141.1681249
8,กำแพงเพชร,ขาณุวรลักษบุรี,เทศบาลเมืองปางมะค่า,650,17445,26.83846154
9,ขอนแก่น,เมืองฯ,เทศบาลเมืองบ้านทุ่ม,54,17257,319.5740741
10,ขอนแก่น,เมืองฯ,เทศบาลเมืองศิลา,72.5,48413,667.7655172
11,ขอนแก่น,พล,เทศบาลเมืองเมืองพล,3,11989,3996.333333
12,ขอนแก่น,ชุมแพ,เทศบาลเมืองชุมแพ,24.55,31556,1285.376782
13,ขอนแก่น,บ้านไผ่,เทศบาลเมืองบ้านไผ่,16.2,29302,1808.765432
14,ขอนแก่น,กระนวน,เทศบาลเมืองกระนวน,3.77,10938,2901.32626
15,จันทบุรี,เมืองจันทบุรี,เทศบาลเมืองจันทบุรี,10.25,24923,2431.512195
16,จันทบุรี,ขลุง,เทศบาลเมืองขลุง,3.18,11078,3483.647799
17,จันทบุรี,เมืองจันทบุรี,เทศบาลเมืองท่าช้าง,11.75,13405,1140.851064
18,จันทบุรี,เมืองจันทบุรี,เทศบาลเมืองจันทนิมิต,7.1,12909,1818.169014
19,จันทบุรี,ท่าใหม่,เทศบาลเมืองท่าใหม่,30.4,9995,328.7828947
20,ฉะเชิงเทรา,เมืองฉะเชิงเทรา,เทศบาลเมืองฉะเชิงเทรา,12.76,39364,3084.952978
21,ชลบุรี,เมืองชลบุรี,เทศบาลเมืองชลบุรี,4.57,31074,6799.562363
22,ชลบุรี,สัตหีบ,เทศบาลเมืองสัตหีบ,6.22,22976,3693.890675
23,ชลบุรี,ศรีราชา,เทศบาลเมืองศรีราชา,4.058,21728,5354.361755
24,ชลบุรี,เมืองชลบุรี,เทศบาลเมืองแสนสุข,20.268,43294,2136.076574
25,ชลบุรี,เมืองชลบุรี,เทศบาลเมืองอ่างศิลา,18.6,30799,1655.860215
26,ชลบุรี,บ้านบึง,เทศบาลเมืองบ้านบึง,8.02,18496,2306.234414
27,ชลบุรี,เมืองชลบุรี,เทศบาลเมืองบ้านสวน,7.87,63636,8085.895807
28,ชลบุรี,บางละมุง,เทศบาลเมืองหนองปรือ,45.54,62828,1379.62231
29,ชลบุรี,พนัสนิคม,เทศบาลเมืองพนัสนิคม,2.76,11354,4113.768116
30,ชลบุรี,เกาะจันทร์,เทศบาลเมืองปรกฟ้า *,182.06,14479,79.52872679
31,ชัยนาท,เมืองชัยนาท,เทศบาลเมืองชัยนาท,6.06,12820,2115.511551
32,ชัยภูมิ,เมืองชัยภูมิ,เทศบาลเมืองชัยภูมิ,30.78,37060,1204.02859
33,ชุมพร,เมืองชุมพร,เทศบาลเมืองชุมพร,21.1,33200,1573.459716
34,ชุมพร,หลังสวน,เทศบาลเมืองหลังสวน,16.73,11391,680.8726838
35,เชียงใหม่,แม่แตง,เทศบาลเมืองเมืองแกนพัฒนา,24,13112,546.3333333
36,เชียงใหม่,สันทราย,เทศบาลเมืองแม่โจ้,19.46,20654,1061.356629
37,เชียงใหม่,สันกำแพง,เทศบาลเมืองต้นเปา,15.36,14133,920.1171875
38,เชียงใหม่,เมืองเชียงใหม่,เทศบาลเมืองแม่เหียะ,24.41,18053,739.5739451
39,ตรัง,กันตัง,เทศบาลเมืองกันตัง,3.04,12814,4215.131579
40,ตราด,เมืองตราด,เทศบาลเมืองตราด,2.52,10140,4023.809524
41,ตาก,เมืองตาก,เทศบาลเมืองตาก,7.27,18034,2480.605227
42,นครนายก,เมืองนครนายก,เทศบาลเมืองนครนายก,15.87,16375,1031.821046
43,นครปฐม,เมืองนครปฐม,เทศบาลเมืองนครปฐม,22.2,12063,543.3783784
44,นครปฐม,เมืองนครปฐม,เทศบาลเมืองสามควายเผือก,14.72,10638,773
45,นครปฐม,สามพราน,เทศบาลเมืองสามพราน,8.15,16822,2064.04908
46,นครปฐม,สามพราน,เทศบาลเมืองไร่ขิง,25.4,26253,1033.582677
47,นครปฐม,สามพราน,เทศบาลเมืองกระทุ่มล้ม,10.9,22427,2057.522936
48,นครพนม,เมืองนครพนม,เทศบาลเมืองนครพนม,24.12,26630,1104.063018
49,นครราชสีมา,บัวใหญ่,เทศบาลเมืองบัวใหญ่,10.626,14443,1359.213251
50,นครราชสีมา,ปากช่อง,เทศบาลเมืองปากช่อง,15.25,36103,2367.409836
51,นครราชสีมา,สีคิ้ว,เทศบาลเมืองสีคิ้ว,11.63,18288,1572.484953
52,นครราชสีมา,ปักธงชัย,เทศบาลเมืองเมืองปัก,12.11,14033,1158.794385
53,นครศรีธรรมราช,ทุ่งสง,เทศบาลเมืองทุ่งสง,7.17,29542,3800
54,นครศรีธรรมราช,ปากพนัง,เทศบาลเมืองปากพนัง,7.35,20867,2839.047619
55,นครศรีธรรมราช,เมืองนครศรีธรรมราช,เทศบาลเมืองปากพูน,69.34,32880,474.1851745
56,นครสวรรค์,ตาคลี,เทศบาลเมืองตาคลี,16,25244,1577.75
57,นครสวรรค์,ชุมแสง,เทศบาลเมืองชุมแสง,2.4,8701,3625.416667
58,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,8.4,41777,4973.452381
