FID,prov,amphoe,name,area_km,pop,density
1,กระบี่,เกาะลันตา,เทศบาลตำบลเกาะลันตาใหญ่,0.81,1112,636
2,กระบี่,เขาพนม,เทศบาลตำบลเขาพนม,12.92,4620,357.5851393
3,กระบี่,เมืองกระบี่,เทศบาลตำบลกระบี่น้อย,84,15915,189.4642857
4,กระบี่,เหนือคลอง,เทศบาลตำบลเหนือคลอง,3.53,4315,1222.379603
5,กระบี่,คลองท่อม,เทศบาลตำบลคลองท่อมใต้,2.7,3837,1421.111111
6,กระบี่,คลองท่อม,เทศบาลตำบลคลองพน,7.65,2928,382.745098
7,กระบี่,คลองท่อม,เทศบาลตำบลทรายขาว,166.29,10339,62.1745144
8,กระบี่,คลองท่อม,เทศบาลตำบลคลองพนพัฒนา,183.36,16085,87.72360384
9,กระบี่,ปลายพระยา,เทศบาลตำบลปลายพระยา,12.5,5765,461.2
10,กระบี่,ลำทับ,เทศบาลตำบลลำทับ,8.11,3947,486.6831073
11,กระบี่,อ่าวลึก,เทศบาลตำบลแหลมสัก,7,3939,562.7142857
12,กระบี่,อ่าวลึก,เทศบาลตำบลอ่าวลึกใต้,8,5867,733.375
13,กาญจนบุรี,เมืองกาญจนบุรี,เทศบาลตำบลปากแพรก,47.8,23124,483.7656904
14,กาญจนบุรี,เมืองกาญจนบุรี,เทศบาลตำบลแก่งเสี้ยน,11.65,5356,459.7424893
15,กาญจนบุรี,เมืองกาญจนบุรี,เทศบาลตำบลลาดหญ้า,4.05,5678,1401.975309
16,กาญจนบุรี,เมืองกาญจนบุรี,เทศบาลตำบลหนองบัว,8.5,5654,665.1764706
17,กาญจนบุรี,เมืองกาญจนบุรี,เทศบาลตำบลท่ามะขาม,26.25,10135,386.0952381
18,กาญจนบุรี,เลาขวัญ,เทศบาลตำบลเลาขวัญ,10.4,2634,253.2692308
19,กาญจนบุรี,เลาขวัญ,เทศบาลตำบลหนองฝ้าย,14.86,2151,144.7510094
20,กาญจนบุรี,ไทรโยค,เทศบาลตำบลน้ำตกไทรโยคน้อย,4.4,3653,830.2272727
21,กาญจนบุรี,ไทรโยค,เทศบาลตำบลวังโพธิ์,5.2,1982,381.1538462
22,กาญจนบุรี,ไทรโยค,เทศบาลตำบลไทรโยค,1201,7990,6.652789342
23,กาญจนบุรี,ด่านมะขาม,เทศบาลตำบลด่านมะขามเตี้ย,9.71,2557,263.3367662
24,กาญจนบุรี,ทองผาภูมิ,เทศบาลตำบลทองผาภูมิ,3.28,2675,815.5487805
25,กาญจนบุรี,ทองผาภูมิ,เทศบาลตำบลสหกรณ์นิคม,162,4857,29.98148148
26,กาญจนบุรี,ทองผาภูมิ,เทศบาลตำบลท่าขนุน,416,13835,33.25721154
27,กาญจนบุรี,ทองผาภูมิ,เทศบาลตำบลลิ่นถิ่น,253,6721,26.56521739
28,กาญจนบุรี,ท่าม่วง,เทศบาลตำบลท่าม่วง,1.53,10856,7095.424837
29,กาญจนบุรี,ท่าม่วง,เทศบาลตำบลสำรอง,5.904,1929,326.7276423
30,กาญจนบุรี,ท่าม่วง,เทศบาลตำบลหนองขาว,0.84,5390,6416.666667
